FIPS,State,County,Population_2023
17019,IL,Champaign County,205644.0
17021,IL,Christian County,33228.0
17023,IL,Clark County,15088.0
17025,IL,Clay County,12999.0
17027,IL,Clinton County,36785.0
17029,IL,Coles County,46060.0
17031,IL,Cook County,5087072.0
17033,IL,Crawford County,18300.0
17035,IL,Cumberland County,10261.0
17037,IL,DeKalb County,100288.0
17039,IL,De Witt County,15365.0
17041,IL,Douglas County,19629.0
17043,IL,DuPage County,921213.0
17045,IL,Edgar County,16334.0
17047,IL,Edwards County,5968.0
17049,IL,Effingham County,34331.0
17051,IL,Fayette County,21164.0
17053,IL,Ford County,13250.0
17055,IL,Franklin County,37138.0
17057,IL,Fulton County,32541.0
17059,IL,Gallatin County,4670.0
17061,IL,Greene County,11543.0
17063,IL,Grundy County,53578.0
17065,IL,Hamilton County,7911.0
17067,IL,Hancock County,17186.0
17069,IL,Hardin County,3569.0
17071,IL,Henderson County,6088.0
17073,IL,Henry County,48448.0
17075,IL,Iroquois County,26136.0
17077,IL,Jackson County,52141.0
17079,IL,Jasper County,9144.0
17081,IL,Jefferson County,36320.0
17083,IL,Jersey County,21091.0
17085,IL,Jo Daviess County,21756.0
17087,IL,Johnson County,13326.0
17089,IL,Kane County,514982.0
17091,IL,Kankakee County,105940.0
17093,IL,Kendall County,139976.0
17095,IL,Knox County,48411.0
17097,IL,Lake County,708760.0
17099,IL,LaSalle County,108309.0
17101,IL,Lawrence County,14813.0
17103,IL,Lee County,33654.0
17105,IL,Livingston County,35320.0
17107,IL,Logan County,27590.0
17109,IL,McDonough County,26839.0
17111,IL,McHenry County,312800.0
17113,IL,McLean County,170441.0
17115,IL,Macon County,100591.0
17117,IL,Macoupin County,44018.0
17119,IL,Madison County,262752.0
17121,IL,Marion County,36673.0
17123,IL,Marshall County,11683.0
17125,IL,Mason County,12523.0
17127,IL,Massac County,13661.0
17129,IL,Menard County,11954.0
17131,IL,Mercer County,15487.0
17133,IL,Monroe County,34957.0
17135,IL,Montgomery County,27663.0
17137,IL,Morgan County,32140.0
17139,IL,Moultrie County,14342.0
17141,IL,Ogle County,51265.0
17143,IL,Peoria County,177513.0
17145,IL,Perry County,20503.0
17147,IL,Piatt County,16714.0
17149,IL,Pike County,14342.0
17151,IL,Pope County,3707.0
17153,IL,Pulaski County,4911.0
17155,IL,Putnam County,5561.0
17157,IL,Randolph County,29815.0
17159,IL,Richland County,15488.0
17161,IL,Rock Island County,141236.0
17163,IL,St. Clair County,251018.0
17165,IL,Saline County,22873.0
17167,IL,Sangamon County,193491.0
17169,IL,Schuyler County,6733.0
17171,IL,Scott County,4710.0
17173,IL,Shelby County,20568.0
17175,IL,Stark County,5218.0
17177,IL,Stephenson County,43105.0
17179,IL,Tazewell County,129541.0
17181,IL,Union County,16667.0
17183,IL,Vermilion County,71652.0
17185,IL,Wabash County,10942.0
17187,IL,Warren County,16185.0
17189,IL,Washington County,13536.0
17191,IL,Wayne County,15761.0
17193,IL,White County,13401.0
17195,IL,Whiteside County,54498.0
17197,IL,Will County,700728.0
17199,IL,Williamson County,66706.0
17201,IL,Winnebago County,280922.0
17203,IL,Woodford County,38285.0
18000,IN,Indiana,6862199.0
18001,IN,Adams County,36288.0
18003,IN,Allen County,394545.0
18005,IN,Bartholomew County,84003.0
18007,IN,Benton County,8729.0
18009,IN,Blackford County,11893.0
18011,IN,Boone County,76120.0
18013,IN,Brown County,15653.0
18015,IN,Carroll County,20525.0
18017,IN,Cass County,37666.0
18019,IN,Clark County,125467.0
18021,IN,Clay County,26460.0
18023,IN,Clinton County,32730.0
18025,IN,Crawford County,10438.0
18027,IN,Daviess County,33656.0
18029,IN,Dearborn County,51215.0
18031,IN,Decatur County,26399.0
18033,IN,DeKalb County,44198.0
18035,IN,Delaware County,112321.0
18037,IN,Dubois County,43546.0
18039,IN,Elkhart County,206409.0
18041,IN,Fayette County,23362.0
18043,IN,Floyd County,80809.0
18045,IN,Fountain County,16731.0
18047,IN,Franklin County,23096.0
18049,IN,Fulton County,20358.0
18051,IN,Gibson County,32904.0
18053,IN,Grant County,66200.0
18055,IN,Greene County,31196.0
18057,IN,Hamilton County,371645.0
18059,IN,Hancock County,86166.0
18061,IN,Harrison County,40006.0
18063,IN,Hendricks County,186387.0
18065,IN,Henry County,48929.0
18067,IN,Howard County,83831.0
18069,IN,Huntington County,36781.0
18071,IN,Jackson County,46460.0
18073,IN,Jasper County,33535.0
18075,IN,Jay County,20032.0
18077,IN,Jefferson County,33056.0
18079,IN,Jennings County,27622.0
18081,IN,Johnson County,167819.0
18083,IN,Knox County,36070.0
18085,IN,Kosciusko County,80364.0
18087,IN,LaGrange County,40907.0
18089,IN,Lake County,500598.0
18091,IN,LaPorte County,111706.0
18093,IN,Lawrence County,45084.0
18095,IN,Madison County,132504.0
18097,IN,Marion County,968460.0
18099,IN,Marshall County,46352.0
18101,IN,Martin County,9897.0
18103,IN,Miami County,35402.0
18105,IN,Monroe County,139342.0
18107,IN,Montgomery County,38573.0
18109,IN,Morgan County,73227.0
18111,IN,Newton County,13960.0
18113,IN,Noble County,47430.0
18115,IN,Ohio County,6004.0
18117,IN,Orange County,19638.0
18119,IN,Owen County,21532.0
18121,IN,Parke County,16484.0
18123,IN,Perry County,19209.0
18125,IN,Pike County,12106.0
18127,IN,Porter County,175335.0
18129,IN,Posey County,25040.0
18131,IN,Pulaski County,12385.0
18133,IN,Putnam County,37567.0
18135,IN,Randolph County,24216.0
18137,IN,Ripley County,29227.0
18139,IN,Rush County,16847.0
18141,IN,St. Joseph County,272848.0
18143,IN,Scott County,24657.0
18145,IN,Shelby County,45231.0
18147,IN,Spencer County,19910.0
18149,IN,Starke County,23206.0
18151,IN,Steuben County,34917.0
18153,IN,Sullivan County,20757.0
18155,IN,Switzerland County,10019.0
18157,IN,Tippecanoe County,188792.0
18159,IN,Tipton County,15256.0
18161,IN,Union County,6973.0
18163,IN,Vanderburgh County,179810.0
18165,IN,Vermillion County,15417.0
18167,IN,Vigo County,106153.0
18169,IN,Wabash County,30670.0
18171,IN,Warren County,8518.0
18173,IN,Warrick County,65867.0
18175,IN,Washington County,28205.0
